slice_index,cluster,pixel_count,csa_mm2
13,1.0,3,56.25
14,1.0,8,150.0
15,1.0,8,150.0
16,1.0,10,187.5
17,1.0,10,187.5
18,1.0,10,187.5
19,1.0,12,225.0
20,1.0,12,225.0
21,1.0,13,243.75
22,1.0,17,318.75
23,1.0,17,318.75
24,1.0,20,375.0
25,1.0,26,487.5
26,1.0,26,487.5
27,1.0,26,487.5
28,1.0,26,487.5
29,1.0,27,506.25
30,1.0,32,600.0
31,1.0,32,600.0
32,1.0,38,712.5
33,1.0,40,750.0
34,1.0,40,750.0
35,1.0,41,768.75
36,1.0,41,768.75
37,1.0,40,750.0
38,1.0,40,750.0
39,1.0,40,750.0
40,1.0,42,787.5
41,1.0,47,881.25
42,1.0,47,881.25
43,1.0,51,956.25
44,1.0,51,956.25
45,1.0,48,900.0
46,1.0,55,1031.25
47,1.0,55,1031.25
48,1.0,52,975.0
48,2.0,1,18.75
49,1.0,52,975.0
49,2.0,1,18.75
50,1.0,51,956.25
50,2.0,2,37.5
51,1.0,49,918.75
51,2.0,3,56.25
52,1.0,49,918.75
52,2.0,3,56.25
53,1.0,46,862.5
53,2.0,2,37.5
54,1.0,43,806.25
54,2.0,3,56.25
55,1.0,43,806.25
55,2.0,3,56.25
56,1.0,39,731.25
56,2.0,5,93.75
57,1.0,35,656.25
57,2.0,7,131.25
58,1.0,36,675.0
58,2.0,6,112.5
59,1.0,38,712.5
59,2.0,8,150.0
60,1.0,37,693.75
60,2.0,9,168.75
61,1.0,34,637.5
61,2.0,10,187.5
62,1.0,34,637.5
62,2.0,17,318.75
63,1.0,32,600.0
63,2.0,19,356.25
64,1.0,30,562.5
64,2.0,17,318.75
65,1.0,25,468.75
65,2.0,17,318.75
66,1.0,23,431.25
66,2.0,19,356.25
67,1.0,23,431.25
67,2.0,18,337.5
68,1.0,20,375.0
68,2.0,21,393.75
69,1.0,17,318.75
69,2.0,25,468.75
70,1.0,19,356.25
70,2.0,21,393.75
71,1.0,17,318.75
71,2.0,23,431.25
72,1.0,17,318.75
72,2.0,21,393.75
73,1.0,17,318.75
73,2.0,16,300.0
74,1.0,16,300.0
74,2.0,17,318.75
75,1.0,17,318.75
75,2.0,16,300.0
76,1.0,15,281.25
76,2.0,18,337.5
77,1.0,18,337.5
77,2.0,13,243.75
78,1.0,19,356.25
78,2.0,13,243.75
79,1.0,15,281.25
79,2.0,17,318.75
80,1.0,16,300.0
80,2.0,14,262.5
81,1.0,16,300.0
81,2.0,19,356.25
82,1.0,12,225.0
82,2.0,23,431.25
83,1.0,10,187.5
83,2.0,25,468.75
84,1.0,9,168.75
84,2.0,26,487.5
85,1.0,4,75.0
85,2.0,29,543.75
86,1.0,8,150.0
86,2.0,25,468.75
87,1.0,8,150.0
87,2.0,25,468.75
88,1.0,4,75.0
88,2.0,23,431.25
89,1.0,4,75.0
89,2.0,23,431.25
90,1.0,4,75.0
90,2.0,22,412.5
91,1.0,2,37.5
91,2.0,23,431.25
92,1.0,4,75.0
92,2.0,21,393.75
93,1.0,2,37.5
93,2.0,20,375.0
94,1.0,2,37.5
94,2.0,17,318.75
95,1.0,2,37.5
95,2.0,17,318.75
96,1.0,3,56.25
96,2.0,20,375.0
97,2.0,23,431.25
98,1.0,1,18.75
98,2.0,21,393.75
99,1.0,1,18.75
99,2.0,19,356.25
100,2.0,20,375.0
101,2.0,20,375.0
102,2.0,20,375.0
103,2.0,20,375.0
104,2.0,19,356.25
105,2.0,19,356.25
106,1.0,1,18.75
106,2.0,16,300.0
107,1.0,1,18.75
107,2.0,12,225.0
108,2.0,13,243.75
109,2.0,13,243.75
110,2.0,11,206.25
111,2.0,11,206.25
112,2.0,10,187.5
113,2.0,10,187.5
114,2.0,8,150.0
115,2.0,8,150.0
116,2.0,8,150.0
117,2.0,5,93.75
118,2.0,5,93.75
119,2.0,5,93.75
120,2.0,1,18.75
121,2.0,1,18.75
