x,y,z,intensity
-7.5,-20.0,-22.5,135.0
-7.5,-20.0,-20.625,105.0
-7.5,-20.0,-18.75,95.0
-7.5,-20.0,-16.875,106.0
-7.5,-20.0,-15.0,98.0
-7.5,-10.0,-43.125,149.0
-7.5,-10.0,-41.25,146.0
-7.5,-10.0,-39.375,140.0
-7.5,-10.0,-37.5,123.0
-7.5,-10.0,-35.625,113.0
-7.5,-10.0,-33.75,110.0
-7.5,-10.0,-31.875,100.0
-7.5,-10.0,-30.0,88.0
-7.5,-10.0,-28.125,73.0
-7.5,-10.0,-26.25,69.0
-7.5,-10.0,-24.375,73.0
-7.5,-10.0,-22.5,73.0
-7.5,-10.0,-20.625,91.0
-7.5,0.0,-58.125,78.0
-7.5,0.0,-56.25,86.0
-7.5,0.0,-54.375,83.0
-7.5,0.0,-52.5,90.0
-7.5,0.0,-50.625,115.0
-7.5,0.0,-48.75,108.0
-7.5,0.0,-46.875,101.0
-7.5,0.0,-45.0,112.0
-7.5,0.0,-43.125,110.0
-7.5,0.0,-41.25,108.0
-7.5,0.0,-39.375,104.0
-5.625,-20.0,-22.5,103.0
-5.625,-20.0,-20.625,87.0
-5.625,-20.0,-18.75,74.0
-5.625,-20.0,-16.875,86.0
-5.625,-20.0,-15.0,87.0
-5.625,-10.0,-43.125,122.0
-5.625,-10.0,-41.25,125.0
-5.625,-10.0,-39.375,114.0
-5.625,-10.0,-37.5,94.0
-5.625,-10.0,-35.625,84.0
-5.625,-10.0,-33.75,78.0
-5.625,-10.0,-31.875,84.0
-5.625,-10.0,-30.0,79.0
-5.625,-10.0,-28.125,72.0
-5.625,-10.0,-26.25,74.0
-5.625,-10.0,-24.375,70.0
-5.625,-10.0,-22.5,74.0
-5.625,-10.0,-20.625,92.0
-5.625,0.0,-58.125,72.0
-5.625,0.0,-56.25,85.0
-5.625,0.0,-54.375,74.0
-5.625,0.0,-52.5,67.0
-5.625,0.0,-50.625,89.0
-5.625,0.0,-48.75,85.0
-5.625,0.0,-46.875,82.0
-5.625,0.0,-45.0,91.0
-5.625,0.0,-43.125,99.0
-5.625,0.0,-41.25,102.0
-5.625,0.0,-39.375,106.0
-3.75,-20.0,-43.125,116.0
-3.75,-20.0,-41.25,125.0
-3.75,-20.0,-39.375,122.0
-3.75,-20.0,-37.5,109.0
-3.75,-20.0,-35.625,111.0
-3.75,-20.0,-33.75,97.0
-3.75,-20.0,-31.875,94.0
-3.75,-20.0,-30.0,96.0
-3.75,-20.0,-28.125,87.0
-3.75,-20.0,-26.25,84.0
-3.75,-20.0,-24.375,91.0
-3.75,-20.0,-22.5,89.0
-3.75,-20.0,-20.625,83.0
-3.75,-20.0,-18.75,75.0
-3.75,-20.0,-16.875,72.0
-3.75,-20.0,-15.0,82.0
-3.75,-20.0,-13.125,98.0
-3.75,-20.0,-11.25,96.0
-3.75,-10.0,-63.75,101.0
-3.75,-10.0,-61.875,109.0
