x,y,z,intensity
123,5,115,135.0
123,5,116,105.0
123,5,117,95.0
123,5,118,106.0
123,5,119,98.0
123,6,104,149.0
123,6,105,146.0
123,6,106,140.0
123,6,107,123.0
123,6,108,113.0
123,6,109,110.0
123,6,110,100.0
123,6,111,88.0
123,6,112,73.0
123,6,113,69.0
123,6,114,73.0
123,6,115,73.0
123,6,116,91.0
123,7,96,78.0
123,7,97,86.0
123,7,98,83.0
123,7,99,90.0
123,7,100,115.0
123,7,101,108.0
123,7,102,101.0
123,7,103,112.0
123,7,104,110.0
123,7,105,108.0
123,7,106,104.0
124,5,115,103.0
124,5,116,87.0
124,5,117,74.0
124,5,118,86.0
124,5,119,87.0
124,6,104,122.0
124,6,105,125.0
124,6,106,114.0
124,6,107,94.0
124,6,108,84.0
124,6,109,78.0
124,6,110,84.0
124,6,111,79.0
124,6,112,72.0
124,6,113,74.0
124,6,114,70.0
124,6,115,74.0
124,6,116,92.0
124,7,96,72.0
124,7,97,85.0
124,7,98,74.0
124,7,99,67.0
124,7,100,89.0
124,7,101,85.0
124,7,102,82.0
124,7,103,91.0
124,7,104,99.0
124,7,105,102.0
124,7,106,106.0
125,5,104,116.0
125,5,105,125.0
125,5,106,122.0
125,5,107,109.0
125,5,108,111.0
125,5,109,97.0
125,5,110,94.0
125,5,111,96.0
125,5,112,87.0
125,5,113,84.0
125,5,114,91.0
125,5,115,89.0
125,5,116,83.0
125,5,117,75.0
125,5,118,72.0
125,5,119,82.0
125,5,120,98.0
125,5,121,96.0
125,6,93,101.0
125,6,94,109.0
125,6,95,97.0
125,6,96,82.0
125,6,97,98.0
125,6,98,116.0
125,6,99,108.0
125,6,100,107.0
125,6,101,117.0
125,6,102,111.0
125,6,103,102.0
125,6,104,86.0
125,6,105,91.0
125,6,106,96.0
125,6,107,77.0
125,6,108,65.0
125,6,109,62.0
125,6,110,78.0
125,6,111,74.0
125,6,112,64.0
125,6,113,78.0
125,6,114,84.0
125,6,115,95.0
125,6,116,107.0
125,7,81,66.0
125,7,82,72.0
125,7,83,87.0
125,7,84,100.0
125,7,85,104.0
125,7,86,96.0
125,7,87,102.0
125,7,88,106.0
125,7,89,100.0
125,7,90,101.0
125,7,91,101.0
125,7,92,102.0
125,7,93,84.0
125,7,94,83.0
125,7,95,83.0
125,7,96,69.0
125,7,97,68.0
125,7,98,70.0
125,7,99,63.0
125,7,100,70.0
125,7,101,73.0
125,7,102,86.0
125,7,103,100.0
125,7,104,102.0
125,7,105,107.0
125,7,106,118.0
125,8,81,47.0
125,8,82,59.0
125,8,83,77.0
125,8,84,80.0
125,8,85,75.0
125,8,86,77.0
125,8,87,69.0
125,8,88,68.0
125,8,89,65.0
125,8,90,66.0
125,8,91,83.0
125,8,92,95.0
125,8,93,108.0
126,5,102,120.0
126,5,103,107.0
126,5,104,110.0
126,5,105,117.0
126,5,106,111.0
126,5,107,95.0
126,5,108,96.0
126,5,109,84.0
126,5,110,79.0
126,5,111,87.0
126,5,112,80.0
126,5,113,71.0
126,5,114,75.0
126,5,115,71.0
126,5,116,73.0
